ID,Scheme,Source,Language,Comment,Sentiment
8021,PM SVANidhi — Street Vendor Loan,YouTube,en,KOI BTA SKTA H IS CLASS KI PDF KHA MILEGI MENE TO PURA TELEGRAM DEKH LIYA NHI MILI PLZ KOI BTA DO KHA MILEGI PDF,Neutral
8022,PM SVANidhi — Street Vendor Loan,YouTube,en,50000 k bad fir melega sir,Negative
8023,PM SVANidhi — Street Vendor Loan,YouTube,en,Sir pm svanidhi me Bank change kaise karen??,Neutral
8024,PM SVANidhi — Street Vendor Loan,YouTube,en,Kiska kiska loan disbursement hua,Neutral
8025,PM SVANidhi — Street Vendor Loan,YouTube,en,Thoda km bola kr bhot irritating lgta h mtlb bkwas,Negative
8026,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Sir mara form baink ke portal par so nahi kar rha hai pellise batay,Neutral
8027,PM SVANidhi — Street Vendor Loan,YouTube,en,Bank account kaise change kare sir,Neutral
8028,PM SVANidhi — Street Vendor Loan,YouTube,en,Sir mobile number kase change karna hai,Neutral
8029,PM SVANidhi — Street Vendor Loan,YouTube,en,Show nahi ho rahi,Neutral
8030,PM SVANidhi — Street Vendor Loan,YouTube,en,Civil check hoga kya,Neutral
8031,PM SVANidhi — Street Vendor Loan,YouTube,en,Civil v check hoga,Neutral
8032,PM SVANidhi — Street Vendor Loan,YouTube,en,please solution dya sir,Neutral
8033,PM SVANidhi — Street Vendor Loan,YouTube,en,pm sav nidhi from cancel kasa karata yeto,Neutral
8034,PM SVANidhi — Street Vendor Loan,YouTube,en,Credit card kese bnega,Neutral
8035,PM SVANidhi — Street Vendor Loan,YouTube,en,Pm svanidhi portal sbi bank me band hai sir ji,Neutral
8036,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Sir ji please reply humne bank me paper 29-92025 ko jama Kiya h lekin abhi tk bank ki taraf se koi call nahi aayi or na Paisa transfer hua h isme kitna din lagta h,Neutral
8037,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Apply ho rahi hai lekin loan nahi mil rahi hai...2nd loan submit kiya hua submit application from download nahi ho rahi hai...pmsva nidhi site proper kam nahi kr rahi hai...sarkar thik nahi hai,Neutral
8038,PM SVANidhi — Street Vendor Loan,YouTube,en,"Minister of Housing and urban affairs - Manohar Lal Khatter 
Constituency - Karnal, Haryana
Thank uh sir .",Neutral
8039,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,"Sir agar kisi Street vendor ne pehle phase mein 10k, 20k aur 50k ka loan timely repay kiya ho, to kya usko bhi firse 15k, 25k aur 50k ka loan milega?
Sir Plz reply
Thanks in advance",Positive
8040,PM SVANidhi — Street Vendor Loan,YouTube,en,Ye 25k vali yojna chalu ho gai he abhi k nahi ye bataiye muje sir,Neutral
8041,PM SVANidhi — Street Vendor Loan,YouTube,en,me dusri baar le rha but 25k ke liye apply krta hu to   the  area/ street field is required aarha,Neutral
8042,PM SVANidhi — Street Vendor Loan,YouTube,hi,मैने ऑनलाईन किया तिसरी बार का लोन है मेरा 50000फिर मै बँक में ऑनलाईन फार्म लेकर बँक में गया बँक वालो ने बोला योजना बंद है 🤔,Neutral
8043,PM SVANidhi — Street Vendor Loan,YouTube,en,passward kya hai locked pdf ke?,Neutral
8044,PM SVANidhi — Street Vendor Loan,YouTube,en,manoharlal dhakkad,Neutral
8045,PM SVANidhi — Street Vendor Loan,YouTube,en,Manohar lal khatar,Neutral
8046,PM SVANidhi — Street Vendor Loan,YouTube,en,"Minister of housing and urban affairs - Manoharlal khattar
Thankuu sirr ❤❤",Neutral
8047,PM SVANidhi — Street Vendor Loan,YouTube,en,Swanidhi yojna kb chalu hoga,Neutral
8048,PM SVANidhi — Street Vendor Loan,YouTube,en,MoHUA Minister- Manohar lal khattar,Neutral
8049,PM SVANidhi — Street Vendor Loan,YouTube,en,Band padi haa sita bahut dino sa,Neutral
8050,PM SVANidhi — Street Vendor Loan,YouTube,en,Minister of urban and  housing affairs:- manohar lal khattar,Neutral
8051,PM SVANidhi — Street Vendor Loan,YouTube,en,"Manohar Lal khattar - min of housing affair 
Thankyou sir 🙏",Neutral
8052,PM SVANidhi — Street Vendor Loan,YouTube,en,Minister of housing and urban affairs - Manohar Lal Khattar Thankyou sir for the session,Neutral
8053,PM SVANidhi — Street Vendor Loan,YouTube,en,manohar laal khatter,Neutral
8054,PM SVANidhi — Street Vendor Loan,YouTube,en,Bhut Sundar 🤞🏻🤞🏻,Neutral
8055,PM SVANidhi — Street Vendor Loan,YouTube,en,Manohar lal khattar,Neutral
8056,PM SVANidhi — Street Vendor Loan,YouTube,en,"Ministry of urban affairs- Manohar laal khattar;
 thankyou sir for the fruitful session❣",Neutral
8057,PM SVANidhi — Street Vendor Loan,YouTube,en,Ministry of Housing & Urban Affairs- Manoharlal Khattar,Neutral
8058,PM SVANidhi — Street Vendor Loan,YouTube,en,Manoharlal Khattar,Neutral
8059,PM SVANidhi — Street Vendor Loan,YouTube,en,"Ministry of housing and urban affairs - Manohar Lal khattar
Thank you sir for the wonderful session ❤",Positive
8060,PM SVANidhi — Street Vendor Loan,YouTube,en,Minister of Housing & Urban Affairs -- Manohar Lal Khattar,Neutral
8061,PM SVANidhi — Street Vendor Loan,YouTube,hi,वेबसाईट बंद है 😔,Neutral
8062,PM SVANidhi — Street Vendor Loan,YouTube,en,Sir weekly quiz ki class lijiye plz,Neutral
8063,PM SVANidhi — Street Vendor Loan,YouTube,en,"Minister of Housing and Urban affairs Minister - Manoharlal Khattar . 
thank you sir",Neutral
8064,PM SVANidhi — Street Vendor Loan,YouTube,en,Manohar lal khattar is the minister  of housing and urban affairs thnkuuu sir,Neutral
8065,PM SVANidhi — Street Vendor Loan,YouTube,en,"MOHUA-Manohar lal khattar
Thank you 😊",Neutral
8066,PM SVANidhi — Street Vendor Loan,YouTube,en,"PM svanidhi central sector scheme, fully funded by GOI, to support street vendors for giving working capital loan
Launched 1st jun 2020 
Target  urban street vendors
Last date 31st mar 2030
Total outlay 7332 cr, benficiaries 1.15cr include 50 lpa newbeneficiaries
Loan amt, time 
15000   12months
25000    18 months
50000    36 months
Collateral free, 7%subsidy
Dpt  min of housing and urban affair   manohar lal khatter
Dpt of Financial service
Cashback 1600 
Extend census town, urban cluster, pre urban areas
Training & capacity
Partnership with food safety standards authority of India
Focus on  entrepreneurship, digital skills, marketing, financial literacy
Implementation   SIDBI
Lending institution   shg, rrb, NBFC, scheduled commercial bank, small finance bank micro finance inst.",Neutral
8067,PM SVANidhi — Street Vendor Loan,YouTube,en,H W question Manohar Lal khattar,Neutral
8068,PM SVANidhi — Street Vendor Loan,YouTube,en,MoHUA - Manohar Lal Khattar,Neutral
8069,PM SVANidhi — Street Vendor Loan,YouTube,en,"Manohar Lal khatter 
Constituency - kernel, haryana",Neutral
8070,PM SVANidhi — Street Vendor Loan,YouTube,en,"MINISTER OF HOUSING AND URBAN AFFAIRS = MANOHAR LAL KHATTAR 
 NICE SESSION SIR PLS CONTINUE THIS SCHEME CLASSES",Positive
8071,PM SVANidhi — Street Vendor Loan,YouTube,en,Sir.   Mera 20k loan  clear ho gya hai but. Ab nhi mill Raha hai loan,Positive
8072,PM SVANidhi — Street Vendor Loan,YouTube,en,"MINISTRY OF HOUSING & URBAN AFFAIRS MINISTER- SRI MAHOHAR LAL KHATTAR
THANK U SO MUCH SIR",Positive
8073,PM SVANidhi — Street Vendor Loan,YouTube,en,Ministry of housing & urban affairs minster - manohar lal khattar,Neutral
8074,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,"Best session sir ... 👌 👏 
Aur bhi aisehi topics pr video laya kriye bht helpful hoti h ... thank you",Positive
8075,PM SVANidhi — Street Vendor Loan,YouTube,en,Ministry of  housing and urban affairs - Manohar lal khattar,Neutral
8076,PM SVANidhi — Street Vendor Loan,YouTube,en,Manohar Lal khattar [Minister of Housing and Urban Affairs of India] ❤,Neutral
8077,PM SVANidhi — Street Vendor Loan,YouTube,en,Manohar Lal Khattar is minister of MoHUA,Neutral
8078,PM SVANidhi — Street Vendor Loan,YouTube,en,manohar lal khater,Neutral
8079,PM SVANidhi — Street Vendor Loan,YouTube,en,Minister of Housing and Urban Affairs - Manohar Lal Khattar,Neutral
8080,PM SVANidhi — Street Vendor Loan,YouTube,en,Mohua minister: Manohar Lal khattar,Neutral
8081,PM SVANidhi — Street Vendor Loan,YouTube,en,Ministry of housing and urban affairs minister -- Manohar lal khattar,Neutral
8082,PM SVANidhi — Street Vendor Loan,YouTube,en,"Ministry of housing and urban affairs Minister---- manohar lal khattar
Thank you sir🙏🙏🙏 ❤❤❤❤",Neutral
8083,PM SVANidhi — Street Vendor Loan,YouTube,en,Minister of housing and urban affairs ministry = Manohar Lal Khattar,Neutral
8084,PM SVANidhi — Street Vendor Loan,YouTube,en,"THANK YOU SIR FOR THIS FRUITFUL SESSION

HW:  MoHUA : SHRI MANOHAR LAL KHATTAR { LS from KARNAL} he is also MIN. OF POWER",Neutral
8085,PM SVANidhi — Street Vendor Loan,YouTube,en,"Minister of Housing and urban affairs - Manohar Lal Khatter 
Constituency - Karnal, Haryana",Neutral
8086,PM SVANidhi — Street Vendor Loan,YouTube,en,manohar lal khatter is the answer sir,Neutral
8087,PM SVANidhi — Street Vendor Loan,YouTube,en,GURU JI MAINE SESSION DEKH LIYA H AB MUJHE TAANE NA DENA,Neutral
8088,PM SVANidhi — Street Vendor Loan,YouTube,en,Housing and urban affair minister - Manohar lal khattar,Neutral
8089,PM SVANidhi — Street Vendor Loan,YouTube,en,ministry of housing and urban  affairs minister Manohar lal khattar,Neutral
8090,PM SVANidhi — Street Vendor Loan,YouTube,en,"Min of housing and urban affairs min-Manohar lal khattar
(Karnal , Haryana )",Neutral
8091,PM SVANidhi — Street Vendor Loan,YouTube,en,HW- ministry of housing and urban affairs minister=manohar lal khattar,Neutral
8092,PM SVANidhi — Street Vendor Loan,YouTube,en,"HW ans-Manihar lal khattar
Thank u sir❤❤❤❤❤",Neutral
8093,PM SVANidhi — Street Vendor Loan,YouTube,en,"Minister of housing and urban affairs = manohar lal khattar 
Thank you so much sir 😊🙏🙏🙏🙏",Positive
8094,PM SVANidhi — Street Vendor Loan,YouTube,en,Ministry of housing urban affairs -manoharlal khattar,Neutral
8095,PM SVANidhi — Street Vendor Loan,YouTube,en,"Manohar lal khattar
Thankyou sir",Neutral
8096,PM SVANidhi — Street Vendor Loan,YouTube,en,Ministry of housing and urban affairs Minister_ manohar lal khattar😊,Neutral
8097,PM SVANidhi — Street Vendor Loan,YouTube,en,MANOHAR LAL KHATTAR is the minister of MOHUA,Neutral
8098,PM SVANidhi — Street Vendor Loan,YouTube,en,Minister of Housing and Urban Affairs -- Manohar Lal Khattar,Neutral
8099,PM SVANidhi — Street Vendor Loan,YouTube,hi,"https://whatsapp.com/channel/0029VaF0dKf3WHTQOhFFXd3Y
✅ *सरकारी नोकरियों,योजनाओ की अपडेट सबसे पहले सबसे तेज सटीक व विश्वशनीय पाने के लिए व्हाट्सअप चैनल को फॉलो करें शेयर करें।*
https://whatsapp.com/channel/0029VaF0dKf3WHTQOhFFXd3Y",Neutral
8100,PM SVANidhi — Street Vendor Loan,YouTube,en,https://youtube.com/@adarshvardhan68?si=LnoXMvCoG_VsT8cn,Neutral
8101,PM SVANidhi — Street Vendor Loan,YouTube,en,Kitna din lagta h submit k bad ?,Negative
8102,PM SVANidhi — Street Vendor Loan,YouTube,en,Please select at least one proof as a vendor.      Mere ye aa rha he,Negative
8103,PM SVANidhi — Street Vendor Loan,YouTube,en,15000₹ dega ab first 1300₹ mahina 12 mahina jma karna hoga,Positive
8104,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Bhai Mera bhi lor pending bta rha tha ab phone aaya hai 1 sal bad ki loan lena svandhi yojna aaiye bank me phir se lor number ke liye form bharna padega,Negative
8105,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Galti se bhi khud Se Na bhare,Neutral
8106,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Bhai LOR pending dikha raha hai download kaise karen.,Neutral
8107,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Jo number bank account m usse hi login Krna h ya kisi se bhi,Neutral
8108,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,jo batana hai wo nahi bata raha.vahi pe aavaj breck karata hai,Neutral
8109,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Ulb ye cartificate kais upload hoga aur kaha se Milaga,Neutral
8110,PM SVANidhi — Street Vendor Loan,YouTube,en,Maximum kitna mile ga,Neutral
8111,PM SVANidhi — Street Vendor Loan,YouTube,en,Airtel payment bank me milega kya,Neutral
8112,PM SVANidhi — Street Vendor Loan,YouTube,hi,बैंक में तो बोर्ड लग गया है लेकिन पोर्टल बंद है।     मोदी ने 15 अगस्त को ऐलान कर दिया।      बैंक वाले नहीं,Negative
8113,PM SVANidhi — Street Vendor Loan,YouTube,en,Sir mujhe csc id lena hai kiya karen,Neutral
8114,PM SVANidhi — Street Vendor Loan,YouTube,en,Emi kitni jayegi bhai ye to batao 😅😅,Neutral
8115,PM SVANidhi — Street Vendor Loan,YouTube,en,Bayaz kitna lagega😊,Neutral
8116,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Bhai pmswanidhi account NPA ho gaya tha ab maine full payment kar chuka hun dusra loan kaise lein,Positive
8117,PM SVANidhi — Street Vendor Loan,YouTube,en,Bhai srn number kaha milega 😂,Neutral
8118,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Bhai Mera 1 loan Chal raha hai 1 k ka 2 din hue hai loan liye kya mujhe loan milega,Neutral
8119,PM SVANidhi — Street Vendor Loan,YouTube,en,Block aur village selection nhi ho rha kya kre,Neutral
8120,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Bhai fresh ID hai kbhi loan nhi liya aj tk koi history cibil nhi h.   Kya mujhe mil jayega kya,Positive
8121,PM SVANidhi — Street Vendor Loan,YouTube,en,Mera login ho nhi ho rha,Neutral
8122,PM SVANidhi — Street Vendor Loan,YouTube,en,Apply Krne Ke baad Kitne din me Loan Disbursement hoga,Neutral
8123,PM SVANidhi — Street Vendor Loan,YouTube,en,Pehle ek baar lona la chuka hai ab 25 ke kaisa lana batao,Neutral
8124,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Bhai do lon hai cebil kharab hai hojaga kya😮,Neutral
8125,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Bhai cibil kharab hai to kya hojayga,Neutral
8126,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Bhai maine galti se withdrawal kar diya ab error dikha raha hsi,Neutral
8127,PM SVANidhi — Street Vendor Loan,YouTube,en,"Abe gawar aadmi, step by step mae samjhana bhi hota hae, konsa kya tick mae hota hae",Neutral
8128,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Website pe otp nahi le rha hai,Neutral
8129,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Sr no nahi hai apply nahi hoga kya,Neutral
8130,PM SVANidhi — Street Vendor Loan,YouTube,en,MP ka ho jayega na,Neutral
8131,PM SVANidhi — Street Vendor Loan,YouTube,en,Agr vender certificate na ho to kya kare,Neutral
8132,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Maine same kiya lekin LOR status pending bata raha hai,Neutral
8133,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Bhai galti se withdrawal ho gya ab online nhi ho Raha kya karu,Neutral
8134,PM SVANidhi — Street Vendor Loan,YouTube,en,Cibil report lgega ky isme,Neutral
8135,PM SVANidhi — Street Vendor Loan,YouTube,en,Srn number kya hota hai,Neutral
8136,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Bhai Mera 50k loan completed hogaya hai our 1 lakh loan ka update nahi aya bolra bank Wala filed officers nay new updated news bolo,Positive
8137,PM SVANidhi — Street Vendor Loan,YouTube,en,Phir bank bhi jana padega kyaa,Neutral
8138,PM SVANidhi — Street Vendor Loan,YouTube,en,Bhaiya Post office GDS ka form Fillup karne ka tarika bataye please,Neutral
8139,PM SVANidhi — Street Vendor Loan,YouTube,en,srn number kya hota,Neutral
8140,PM SVANidhi — Street Vendor Loan,YouTube,en,Jaldi jaldi comment krte hai 😂😂😂😂😂like milega,Neutral
8141,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,"2.0 Mera ration card mein Naam add kiye the 3 Mahina Ho Gaya abhi tak update nahin Ho Paya Koi upay bataen
  My grievance is per bhi complaint karke dekh liya 3 Mahina Tak nahin hua add Naam update na
video dalkar",Negative
8142,PM SVANidhi — Street Vendor Loan,YouTube,en,Costomer number ky hi,Neutral
8143,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Kitne logo ko mila hai vo like kre😂,Neutral
8144,PM SVANidhi — Street Vendor Loan,YouTube,en,Me try karta hoo kitne din me aayega ye loan 😂,Neutral
8145,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Mujhe 20 mil chuka hai  ab 50 ke liye bhi kuch bharna padega ya aise hi mil sakta hai,Neutral
8146,PM SVANidhi — Street Vendor Loan,YouTube,en,Kab shuru honga site,Neutral
8147,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Fraud nahi hai kya,Neutral
8148,PM SVANidhi — Street Vendor Loan,YouTube,en,How to chek my bank loan repament 👉 pm svanidhi 👉how to chek subsidy credit and cashback,Neutral
8149,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Request OTP ka option nahi aata hai,Neutral
8150,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Sar loan ka paisa Bank khata se katega please information,Neutral
8151,PM SVANidhi — Street Vendor Loan,YouTube,en,give me about the update of its new web site which has been not working.. kindly consider to me about the same,Positive
8152,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Apka kaise sab NO karne pe bhi ho gaya??,Neutral
8153,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Proof of vendor me agar sab no  select kar rahe h to....wo minimum 1 select karne bol rha h...,Neutral
8154,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,"mene 10 , 20 hazar ka lone liya tha aur vo vapas bhi kiya he par tabb muze lor nahi laga abb muze 50000 ka lone chahiye to lor mang rahe he",Neutral
8155,PM SVANidhi — Street Vendor Loan,YouTube,hi,लाईट चले जाने के बाद लाग इन नहीं हो रहा है कैसे लाग इन करें,Negative
8156,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Mera abhi tak pendding bata raha h iske bre me btao sir kuch bhi,Neutral
8157,PM SVANidhi — Street Vendor Loan,YouTube,en,Grameen ilake me ward kaha hote hsi,Neutral
8158,PM SVANidhi — Street Vendor Loan,YouTube,en,"Sir me Village se hu  ulb,ward no kya rahega",Neutral
8159,PM SVANidhi — Street Vendor Loan,YouTube,en,10k par interest kitna laga,Neutral
8160,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,"Hello sir mere pas ek notice aaya hai 
Ek application loane se loane liya tha uske bare me kreepa karke eske 
bare me bataye 
nahi bharne ke karn

Krepya reply de sir
🙏🙏🙏🙏🙏",Negative
8161,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,"Proof as a vendor any one aa rha hai .
Kisi ek ko yes karne par aage bad rha hai.",Negative
8162,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,Sir 2 month ho gaya hain ..Lekin abhi bhi pending me hi hain,Neutral
8163,PM SVANidhi — Street Vendor Loan,YouTube,hinglish,"Sir ji isme to vendor proof mag raha h aur last me aapne bank paasbook select ki par mere me bo option nahi aa raha 
Pls sir help me",Negative
8164,Vishwakarma Yojana,YouTube,hi,हमने ट्रेनिंग दी 2025 में हमको वाउचर भी मिल गया और हमको पैसा नहीं मिल रहा है 2026 चल रही है अब हम काम कैसे करें कैसे करके लोन मिलेगा,Negative
8165,Vishwakarma Yojana,YouTube,en,Pm vishvkarma ka form kb chalu honga?,Neutral
8166,Vishwakarma Yojana,YouTube,hinglish,Do sal ho gaya mene bhi foam fill kiye the,Neutral
8167,Vishwakarma Yojana,YouTube,en,Family id income kitni honi chia,Neutral
8168,Vishwakarma Yojana,YouTube,en,m.p me h ya nhi,Neutral
8169,Vishwakarma Yojana,YouTube,en,Is me tailor ka option nhi aa rha online form me,Neutral
8170,Vishwakarma Yojana,YouTube,hinglish,Pura 12 mahina Ho Gaya log bolate Hain tumhare 4000 bhi aaega 15000 ka kit bhi aaega kuchh nahin daudte raho,Neutral
8171,Vishwakarma Yojana,YouTube,hinglish,Bhai logon mein ko training lekar aaya hun pm Vishwakarma mein furniture line mein abhi tak kuchh nahin hua,Neutral
8172,Vishwakarma Yojana,YouTube,hinglish,Yah sab kuchh nahin hai Bhai bakwas hai,Neutral
8173,Vishwakarma Yojana,YouTube,hi,हमें भी भरना है कहा होगा ए काम सर,Neutral
8174,Vishwakarma Yojana,YouTube,hinglish,Agar ration card na ho toh kya main apply kar sakta hu,Positive
8175,Vishwakarma Yojana,YouTube,en,Sir traning k pese kon dega 500 k hisaab se...hme to nhi diye sikayt kaha kre,Neutral
8176,Vishwakarma Yojana,YouTube,en,બેંક.વારા.લોન.નથી.આપતા.કોર.મનસુખ,Neutral
8177,Vishwakarma Yojana,YouTube,en,Form kaha bhare ?,Neutral
8178,Vishwakarma Yojana,YouTube,en,Nice video🎉 thank you for 78 subscriber,Positive
8179,Vishwakarma Yojana,YouTube,hinglish,Sab documents hone ke bad bhi bank wale loan ni dete  chuttiya kat rhe,Negative
8180,Vishwakarma Yojana,YouTube,en,Carpenter to nhi hai,Neutral
8181,Vishwakarma Yojana,YouTube,hinglish,Electrician or plumber bhi bhar skte hai kya,Neutral
8182,Vishwakarma Yojana,YouTube,hi,मैं दर्जी का काम करती हूं मेरा नाम नहीं आया,Negative
8183,Vishwakarma Yojana,YouTube,hi,विश्वकर्म योजना का फॉर्म भरे हुए मैंने अभी 10 महीने हो गई है मेरा नाम नहीं आया है कृपया करके कुछ बताएं,Negative
8184,Vishwakarma Yojana,YouTube,en,Link kaha ha kaise apply karo,Neutral
8185,Vishwakarma Yojana,YouTube,en,My age is 16 apply kar shkti hu kiy,Neutral
8186,Vishwakarma Yojana,YouTube,hinglish,Ek family  se kitne log form bhar sakte he,Neutral
8187,Vishwakarma Yojana,YouTube,hinglish,Viswakarma bhagwan hote hai aur unke naam pr yojna bna kr viswakarma bhagwan ka naam nicha kr rha ye modi sarkar 😂😂viswakarma wo hai jo dharti banaya hai aur viswakarma ko mistry bana diya ye modi aur viswakarma ke bs 5putra hote hai aur wo Brahman hote hai lekin unlogo ka astitwa mita rha ye modi nicha bna kr kisi bhi caste ko viswakarma me add kr rha ye 😂,Neutral
8188,Vishwakarma Yojana,YouTube,en,Last date kya h form bharne ki. Abhi to march 2024 chal raha hai. Pls btao,Neutral
8189,Vishwakarma Yojana,YouTube,hi,Abb kbb tkk साइड खुलेगी,Neutral
8190,Vishwakarma Yojana,YouTube,en,Mujhe chahiye silai machine,Neutral
8191,Vishwakarma Yojana,YouTube,hinglish,Sub zhut hai bhai 😊,Neutral
8192,Vishwakarma Yojana,YouTube,en,Form apply karne k liye kya kya  documents chaiye,Neutral
8193,Vishwakarma Yojana,YouTube,en,mere husband police me h me bahar sakti hu from plzz reply me,Negative
8194,Vishwakarma Yojana,YouTube,hinglish,ager hme wha se 1lakh paise loan nhi  uthane pade to kya hm yah form bhar skte h,Neutral
8195,Vishwakarma Yojana,YouTube,en,Unmarried ladhiya apply kr sakti h kya,Neutral
8196,Vishwakarma Yojana,YouTube,en,Document kya lgenge,Neutral
8197,Vishwakarma Yojana,YouTube,en,Me already pahle se loan liye hu mujhe milega,Neutral
8198,Vishwakarma Yojana,YouTube,hinglish,Central Bank ka Mera khata hai main ok aaya mere ko mana,Neutral
8199,Vishwakarma Yojana,YouTube,hinglish,Bhai mein Ho ya Bank ko mana kar rahe hain koi Yojana chalu nahin😅,Neutral
8200,Vishwakarma Yojana,YouTube,en,Me student hu apply kar sakti hu,Neutral
8201,Vishwakarma Yojana,YouTube,en,Last date kya h,Neutral
8202,Vishwakarma Yojana,YouTube,en,Ye form bharne ke liye aadhar pan card link karna padega,Neutral
8203,Vishwakarma Yojana,YouTube,en,vihava karma avasyojnasartifiket maleya hi pan  loun haji mali nathi,Neutral
8204,Vishwakarma Yojana,YouTube,en,dahod bhambhori shadak faliyu devlabhai varshingbhai bhabhor 2lakh loun,Neutral
8205,Vishwakarma Yojana,YouTube,en,modiji's one initiative of PM Vishwakarma Tailoring will decentralise garment industry 🙏🙏,Neutral
8206,Vishwakarma Yojana,YouTube,hi,पीएम विश्वकर्मा कब तक आर्मी इंतजार करें 226 में,Neutral
8207,Vishwakarma Yojana,YouTube,hi,क्या लाभर्थि आप फ़ोन करता है या आप लाभार्थी को फ़ोन करके डोलते हों की आपका लोन आजाये आप बैक मेनेजर को मिलों क्या महीला ने ट्रेनिंग की तो एक साल हो गया है मगर हमको पैसा नहीं मिला है क्योंकि महिला बार बार बैंक में जाने से ऊस महिला को लोन मिल जाएगा क्या अरे भाई महीला ओ को ऐसी लोन देने की बात से तों फोन करते हो तो आप ऐसा करो लोन उस के खाते में जमा कर दो,Negative
8208,Vishwakarma Yojana,YouTube,hi,अरे भाई ईस योजना से तो अपना घर-बार दोनों बीगाड दिया है और मोदीजी का फोटो वाला चार चार प्रमाणपत्र दिया है और अभी तक पेसा नहीं मीला है ऐसा क्यों,Negative
8209,Vishwakarma Yojana,YouTube,hinglish,Vishwakarma loan ko thoda 18 18 se jyada samay Bada ham garibon ke liye 6000 se Bada kam kist kijiye jija Modi ke Sarkar pradhanmantri vaishakh ki mang,Neutral
8210,Vishwakarma Yojana,YouTube,en,Mukual aannd vishkrma ko apna neta man liya hme tikt chahiye,Neutral
8211,Vishwakarma Yojana,YouTube,en,Humko bhi dijiye,Neutral
8212,Vishwakarma Yojana,YouTube,hi,इस योजना से हम फिसलने वाले नहीं हैं हमें सीट चाहिए हमें टिकट चाहिए मुकुल आनंद जी को हम अपने नेता मांग कर उनको सपोर्ट करेंगे अब पिछड़ी जाति का एक नेता आएगा,Negative
8213,Vishwakarma Yojana,YouTube,hi,"किसी को मिला है कि नहीं को सब हवा हवाई है, 😂😂 मेरे फार्म भरे हुए 2 साल हो गया, दो Document By Post आया, और एक दिन ट्रेनिंग के लिए फोन आया, कि आप ट्रेनिंग के लिए तैयार रहें,, लग रहा था, कि कश्मीर बार्डर पर युद्ध के लिए जाना है, 😂 उसके बाद फिर कॉल नहीं आया, सब गोलमाल है, 😂😂😂",Negative
8214,Vishwakarma Yojana,YouTube,hinglish,Sirf kagaj haath me aye or koi help nahi milta kya koi bich me sestem krabh to nahi hai,Neutral
8215,Vishwakarma Yojana,YouTube,hi,पीएम विश्वकर्म योजना का नगर से फॉर्म में आगे बढ़ता है,Neutral
8216,Vishwakarma Yojana,YouTube,hi,हमे परमाण पतर तो मीला है मगर बेकसे फोन नही आया है,Neutral
8217,Vishwakarma Yojana,YouTube,en,હુટેનીગ દે ચુકાહુ પણ કીટનહી મીલી,Neutral
8218,Vishwakarma Yojana,YouTube,hinglish,Modi ji kuchh nahin Chhotu banaa raha hai aadami ko kuchh loan nahin ham log bhi praman Patra lekar baithe Hain kuchh nahin mila hai abhi tak salon,Neutral
8219,Vishwakarma Yojana,YouTube,hi,मै दो साल हो गया फार्म जमा किया आज तक कुछ नहीं मिला,Negative
